Genotype,Date,Plant ,Slide,Image,SC length,,,,,Stage,good trace?,foci count,foci per chromosome,comments,quality
HEI10 C2 OX,2.8.19,22,2,11,39.1736,,,,,late,y,,6,noisy,0
HEI10 C2 OX,2.8.19,22,2,11,36.4214,,,,,,y,,2,,1
HEI10 C2 OX,2.8.19,22,2,11,49.1668,,,,,,y,,7,,1
HEI10 C2 OX,2.8.19,22,2,11,43.2301,,,,,,y,,4,invading fous,0
HEI10 C2 OX,2.8.19,22,2,11,58.0769,,,,,,y,,6,,1
HEI10 C2 OX,2.8.19,22,2,2,49.9303,,,,,mid,y,,,,
HEI10 C2 OX,2.8.19,22,2,2,65.8951,,,,,,y,,,,
HEI10 C2 OX,2.8.19,22,2,2,47.3638,,,,,,y,,,,
HEI10 C2 OX,2.8.19,22,2,2,47.3059,,,,,,y,,,,
HEI10 C2 OX,2.8.19,22,2,2,68.2045,,,,,,y,,,,
HEI10 C2 OX,2.8.19,22,2,3,37.9699,,,,,late,y,,4,,1
HEI10 C2 OX,2.8.19,22,2,3,46.5199,,,,,,n,,4,,0
HEI10 C2 OX,2.8.19,22,2,3,54.703,,,,,,y,,4,,1
HEI10 C2 OX,2.8.19,22,2,3,37.7961,,,,,,y,,5,,1
HEI10 C2 OX,2.8.19,22,2,3,46.2555,,,,,,y,,3,,1
HEI10 C2 OX,2.8.19,22,2,4,40.9646,,,,,late,y,,4,,1
HEI10 C2 OX,2.8.19,22,2,4,46.0639,,,,,,y,,5,,1
HEI10 C2 OX,2.8.19,22,2,4,56.1106,,,,,,y,,4,,1
HEI10 C2 OX,2.8.19,22,2,4,38.1443,,,,,,y,,3,,1
HEI10 C2 OX,2.8.19,22,2,4,36.9234,,,,,,y,,3,,1
HEI10 C2 OX,2.8.19,22,2,6,59.3549,,,,,mid/late,y,,10,,1
HEI10 C2 OX,2.8.19,22,2,6,62.1618,,,,,,n,,10,,0
HEI10 C2 OX,2.8.19,22,2,6,47.0478,,,,,,y,,6,,1
HEI10 C2 OX,2.8.19,22,2,6,39.0505,,,,,,y,,8,,1
