Genotype,Date,Plant ,Slide,Image,SC length,,,,,Stage,good trace?,foci count,foci per chromosome,comments,quality
hei10 ++,2.8.19,17,2,7.1,39.0113,,,,,late,y,11,2,,1
hei10 ++,2.8.19,17,2,7.1,37.8475,,,,,,y,,2,,1
hei10 ++,2.8.19,17,2,7.1,43.2221,,,,,,y,,2,,1
hei10 ++,2.8.19,17,2,7.1,61.1004,,,,,,y,,3,,1
hei10 ++,2.8.19,17,2,7.1,54.2608,,,,,,y,,2,,1
hei10 ++,2.8.19,17,2,7.2,24.9278,,,,,mid/late,y,11,,,
hei10 ++,2.8.19,17,2,7.2,34.8735,,,,,,y,,,,
hei10 ++,2.8.19,17,2,7.2,34.1274,,,,,,y,,,,
hei10 ++,2.8.19,17,2,7.2,47.9064,,,,,,y,,,,
hei10 ++,2.8.19,17,2,7.2,41.4843,,,,,,y,,,,
hei10 ++,2.8.19,17,2,7.3,36.3176,,,,,mid/late,y,10,,,
hei10 ++,2.8.19,17,2,7.3,41.8582,,,,,,y,,,,
hei10 ++,2.8.19,17,2,7.3,48.1581,,,,,,y,,,,
hei10 ++,2.8.19,17,2,7.3,32.957,,,,,,y,,,,
hei10 ++,2.8.19,17,2,7.3,35.8575,,,,,,y,,,,
hei10 ++,2.8.19,17,2,8.1,39.6434,,,,,late,y,10,2,,0
hei10 ++,2.8.19,17,2,8.1,50.4644,,,,,,y,,2,or 3,0
hei10 ++,2.8.19,17,2,8.1,37.1142,,,,,,n,,2,,0
hei10 ++,2.8.19,17,2,8.1,44.3607,,,,,,y,,2,,1
hei10 ++,2.8.19,17,2,8.1,57.255,,,,,,y,,2,,1
hei10 ++,2.8.19,17,2,8.2,54.6301,,,,,late,y,7,2,,1
hei10 ++,2.8.19,17,2,8.2,35.8174,,,,,,y,,2,,1
hei10 ++,2.8.19,17,2,8.2,47.1231,,,,,,y,,1,,1
hei10 ++,2.8.19,17,2,8.2,39.2645,,,,,,y,,1,,1
hei10 ++,2.8.19,17,2,8.2,34.6727,,,,,,y,,1,,1
hei10 ++,2.8.19,17,2,8.3,43.1724,,,,,late,y,9,2,,1
hei10 ++,2.8.19,17,2,8.3,61.8962,,,,,,y,,3,,1
hei10 ++,2.8.19,17,2,8.3,38.0566,,,,,,y,,1,or 2,1
hei10 ++,2.8.19,17,2,8.3,52.1614,,,,,,y,,2,,1
hei10 ++,2.8.19,17,2,8.3,34.3711,,,,,,y,,1,,1
hei10 ++,2.8.19,17,2,10,84.1646,,,,,mid/early,y,,,,
hei10 ++,2.8.19,17,2,10,57.5705,,,,,,y,,,,
hei10 ++,2.8.19,17,2,10,53.3889,,,,,,y,,,,
hei10 ++,2.8.19,17,2,10,63.8371,,,,,,y,,,,
hei10 ++,2.8.19,17,2,10,72.993,,,,,,y,,,,
hei10 ++,2.8.19,17,2,11,43.6641,,,,,mid,y,,,,
hei10 ++,2.8.19,17,2,11,42.7812,,,,,,y,,,,
hei10 ++,2.8.19,17,2,11,60.9604,,,,,,y,,,,
hei10 ++,2.8.19,17,2,11,70.3617,,,,,,y,,,,
hei10 ++,2.8.19,17,2,11,52.8219,,,,,,y,,,,
hei10 ++,2.8.19,17,2,12,40.5238,,,,,mid,y,,,,
hei10 ++,2.8.19,17,2,12,63.7851,,,,,,y,,,,
hei10 ++,2.8.19,17,2,12,41.5533,,,,,,y,,,,
hei10 ++,2.8.19,17,2,12,45.804,,,,,,y,,,,
hei10 ++,2.8.19,17,2,12,57.6269,,,,,,y,,,,
hei10 ++,2.8.19,17,2,13,53.9855,,,,,Mid,n,,,,
hei10 ++,2.8.19,17,2,13,61.1642,,,,,,y,,,,
hei10 ++,2.8.19,17,2,13,36.8919,,,,,,y,,,,
hei10 ++,2.8.19,17,2,13,46.1033,,,,,,n,,,,
