Genotype,Date,Plant ,Slide,Image,SC length,,,,,Stage,good trace?,foci count,,comments,quality
hei10 +/-,2.8.19,22,1,3,48.1431,,,,,late,y,2,,,1
hei10 +/-,2.8.19,22,1,3,41.2791,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,3,33.6319,,,,,,y,3,,,1
hei10 +/-,2.8.19,22,1,3,48.0683,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,3,31.4781,,,,,,y,1,,noisy,0
hei10 +/-,2.8.19,22,1,5,35.7241,,,,,late,y,1,,,1
hei10 +/-,2.8.19,22,1,5,35.2321,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,5,48.6525,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,5,53.6611,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,5,39.454,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,6,50.0391,,,,,late,y,2,,,1
hei10 +/-,2.8.19,22,1,6,35.5992,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,6,38.4678,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,6,56.8026,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,6,42.7435,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,7,36.985,,,,,late,y,1,,,1
hei10 +/-,2.8.19,22,1,7,38.5605,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,7,57.9152,,,,,,y,2,,invading focus,0
hei10 +/-,2.8.19,22,1,7,48.0169,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,7,45.3596,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,9,33.2214,,,,,late,y,1,,,1
hei10 +/-,2.8.19,22,1,9,33.9998,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,9,48.1497,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,9,47.0745,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,9,35.0379,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,10,45.2304,,,,,late,n,2,,,0
hei10 +/-,2.8.19,22,1,10,54.858,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,10,38.4285,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,10,39.5015,,,,,,y,1,,,1
